Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,72.709999,73.139999,70.370003,70.760002,65.066788,11935200
2018-12-17,70.379997,71.470001,66.989998,67.269997,61.857594,48920100
2018-12-24,66.820000,72.050003,65.440002,71.089996,65.370247,24525300
2018-12-31,71.570000,72.760002,65.500000,68.110001,62.630005,33701300
2019-01-07,68.190002,69.860001,67.000000,69.330002,63.751862,39133300
2019-01-14,68.410004,71.739998,68.129997,71.419998,65.673691,32619400
2019-01-21,70.970001,71.769997,69.269997,71.150002,65.728806,27999600
2019-01-28,70.519997,73.239998,68.800003,72.360001,66.846603,35507500
2019-02-04,72.389999,73.559998,71.500000,73.330002,67.742683,27359900
2019-02-11,73.480003,75.400002,73.290001,75.250000,69.516396,30466400
2019-02-18,75.160004,76.449997,74.599998,76.129997,70.329346,21723800
2019-02-25,76.389999,78.739998,76.239998,78.589996,72.601906,28864300
2019-03-04,78.839996,78.970001,75.860001,76.629997,70.791245,25880400
2019-03-11,76.919998,80.150002,76.699997,79.860001,73.775139,32698900
2019-03-18,79.949997,80.489998,77.690002,77.970001,72.029152,32540500
2019-03-25,77.809998,79.989998,77.620003,79.940002,73.849068,23109900
2019-04-01,80.669998,80.739998,78.000000,79.000000,72.980690,20639300
2019-04-08,78.910004,79.419998,77.820000,78.010002,72.066101,25534300
2019-04-15,78.110001,78.699997,72.360001,73.919998,68.567215,33247500
2019-04-22,73.129997,78.570000,73.000000,78.559998,72.871193,29170800
2019-04-29,78.559998,79.690002,77.580002,78.690002,72.991791,27136300
2019-05-06,77.419998,79.169998,74.540001,76.449997,70.914001,21422200
2019-05-13,75.169998,77.370003,74.959999,75.970001,70.468773,26138900
2019-05-20,75.599998,77.080002,75.199997,76.980003,71.405632,21748800
2019-05-27,77.029999,77.980003,74.940002,76.129997,70.617172,19602800
2019-06-03,76.250000,81.160004,75.440002,80.739998,74.893356,28511800
2019-06-10,81.000000,82.860001,80.440002,82.220001,76.266182,21156400
2019-06-17,82.389999,85.360001,81.669998,85.000000,78.844856,29754100
2019-06-24,84.779999,85.449997,82.629997,84.099998,78.010025,35726600
2019-07-01,84.739998,85.650002,83.750000,85.419998,79.234451,14773100
2019-07-08,85.279999,85.989998,83.059998,83.919998,77.843079,20353800
2019-07-15,83.809998,88.330002,82.900002,87.489998,81.458473,32581400
2019-07-22,87.360001,88.760002,87.269997,87.750000,81.700562,23343200
2019-07-29,88.059998,88.730003,84.739998,85.820000,79.903587,24464200
2019-08-05,84.730003,87.050003,82.309998,86.620003,80.648445,27720900
2019-08-12,86.389999,87.099998,83.519997,84.779999,78.935295,23304200
2019-08-19,85.790001,86.129997,81.360001,81.930000,76.281769,21231900
2019-08-26,82.610001,85.620003,82.019997,85.320000,79.438072,19642400
2019-09-02,84.430000,86.430000,83.260002,86.040001,80.108437,16541400
2019-09-09,86.339996,86.430000,81.019997,84.269997,78.460434,21667300
2019-09-16,83.910004,84.500000,82.849998,83.580002,77.818016,20860000
2019-09-23,83.430000,84.029999,81.419998,81.839996,76.197990,15262200
2019-09-30,82.190002,84.769997,78.769997,81.989998,76.337646,21670800
2019-10-07,81.400002,81.980003,78.510002,79.629997,74.140327,22113900
2019-10-14,79.690002,83.690002,79.419998,82.790001,77.391518,30757600
2019-10-21,83.139999,83.279999,80.410004,81.650002,76.325859,23903900
2019-10-28,81.800003,84.349998,81.760002,82.660004,77.270012,22651600
2019-11-04,83.040001,83.889999,80.900002,83.739998,78.279556,27719000
2019-11-11,83.309998,85.709999,83.269997,85.709999,80.121109,20745100
2019-11-18,85.709999,85.900002,82.360001,83.739998,78.279556,24556600
2019-11-25,83.910004,85.970001,83.879997,85.449997,79.878059,19744400
2019-12-02,85.570000,85.910004,83.269997,85.480003,79.906120,18051400
2019-12-09,85.120003,86.709999,83.760002,86.349998,80.719376,19096600
2019-12-16,86.949997,89.239998,86.000000,86.660004,81.009148,31293500
2019-12-23,86.309998,87.750000,86.279999,87.400002,81.700912,9676700
2019-12-30,87.519997,87.790001,85.589996,85.889999,80.289360,15683200
2020-01-06,85.620003,86.989998,85.169998,85.360001,79.793922,25846600
2020-01-13,85.500000,89.199997,84.010002,89.000000,83.196587,30615600
2020-01-20,88.860001,92.449997,88.610001,90.400002,84.864197,28936400
2020-01-27,89.110001,90.230003,86.900002,87.139999,81.803833,24542400
2020-02-03,87.779999,90.080002,86.750000,87.870003,82.489136,20889200
2020-02-10,87.209999,89.709999,87.209999,89.660004,84.169533,18639300
2020-02-17,89.419998,89.930000,87.160004,87.449997,82.094864,17185600
2020-02-24,85.449997,85.669998,74.019997,77.029999,72.312943,45398200
2020-03-02,77.879997,83.500000,77.250000,81.739998,76.734505,49590500
2020-03-09,76.610001,82.669998,72.010002,81.650002,76.650040,63429800
2020-03-16,70.650002,81.989998,67.949997,68.000000,63.835907,74822700
2020-03-23,67.070000,77.500000,61.610001,74.559998,69.994194,52182900
2020-03-30,82.830002,84.400002,75.349998,79.449997,74.584740,102848100
2020-04-06,81.080002,86.500000,79.610001,86.040001,80.771194,42979100
2020-04-13,86.320000,97.750000,83.519997,96.010002,90.130692,73766400
2020-04-20,94.820000,100.000000,92.779999,94.059998,88.671913,57234300
2020-04-27,95.480003,95.900002,88.750000,89.849998,84.703072,36530100
2020-05-04,89.790001,94.940002,88.709999,93.699997,88.332535,29455700
2020-05-11,93.220001,96.680000,88.790001,89.889999,84.740784,46044400
2020-05-18,91.900002,93.000000,88.029999,91.470001,86.230278,34161200
2020-05-25,92.949997,95.589996,88.169998,94.919998,89.482651,27119200
2020-06-01,92.949997,93.959999,87.320000,89.860001,84.712509,40890100
2020-06-08,88.980003,92.820000,86.940002,89.019997,83.920616,29872000
2020-06-15,87.519997,92.400002,87.050003,90.680000,85.485527,31664700
2020-06-22,90.330002,92.300003,86.160004,88.709999,83.628380,29675200
2020-06-29,89.580002,93.059998,88.089996,92.230003,86.946754,17125100
2020-07-06,92.760002,94.879997,91.500000,93.040001,87.710350,20623600
2020-07-13,93.139999,100.000000,91.709999,99.250000,93.564606,30522800
2020-07-20,100.000000,101.980003,97.760002,98.949997,93.643944,25843600
2020-07-27,98.550003,102.889999,98.410004,100.639999,95.243309,20357200
2020-08-03,101.080002,102.360001,99.279999,101.230003,95.801689,17901700
2020-08-10,100.940002,101.269997,98.669998,99.989998,94.628174,15959800
2020-08-17,100.300003,102.540001,99.750000,102.400002,96.908936,18285400
2020-08-24,102.699997,114.199997,100.699997,110.790001,104.849022,62330900
2020-08-31,110.699997,111.739998,102.419998,104.160004,98.574562,31874600
2020-09-07,103.169998,106.930000,102.430000,104.699997,99.085594,17965000
2020-09-14,105.589996,107.989998,104.389999,106.860001,101.129799,23627400
2020-09-21,105.800003,106.459999,100.339996,103.449997,97.902626,25444500
2020-09-28,104.239998,110.330002,103.820000,106.500000,100.789078,32299400
2020-10-05,107.180000,109.970001,106.050003,109.650002,103.770172,18987500
2020-10-12,110.250000,111.570000,106.309998,109.669998,103.789085,21049000
2020-10-19,109.900002,111.040001,104.750000,107.790001,102.349907,22344800
2020-10-26,107.570000,109.750000,103.129997,105.110001,99.805168,27591500
2020-11-02,107.089996,115.139999,106.110001,114.419998,108.645287,27982400
2020-11-09,111.800003,113.209999,106.190002,112.599998,106.917160,29963900
2020-11-16,112.050003,114.620003,109.260002,110.889999,105.293449,20107000
2020-11-23,111.430000,111.519997,105.629997,107.620003,102.188492,19624900
2020-11-30,107.769997,109.599998,106.930000,107.900002,102.454346,21945300
2020-12-07,107.720001,108.300003,105.320000,107.019997,101.618767,28861400
2020-12-14,107.500000,109.610001,106.400002,108.970001,103.470367,30559400
2020-12-21,107.559998,109.680000,105.370003,108.349998,102.881638,12571400
2020-12-28,108.959999,109.639999,107.260002,109.489998,103.964096,10266600
2021-01-04,109.529999,112.550003,107.260002,111.610001,105.977104,25865400
2021-01-11,111.209999,112.900002,108.250000,111.300003,105.682755,23872700
2021-01-18,111.739998,113.540001,110.260002,112.839996,107.576683,18964400
2021-01-25,113.059998,124.720001,113.010002,123.589996,117.825264,40228000
2021-02-01,123.239998,124.820000,118.790001,124.029999,118.244743,30787300
2021-02-08,125.000000,128.539993,123.610001,128.229996,122.248825,18432000
2021-02-15,128.490005,128.500000,122.669998,123.040001,117.300903,19967900
2021-02-22,122.949997,123.180000,119.660004,119.779999,114.192970,23201700
2021-03-01,120.989998,123.099998,114.739998,117.250000,111.780968,25565300
2021-03-08,117.000000,119.339996,115.320000,116.709999,111.266167,25377600
2021-03-15,117.190002,120.989998,116.540001,120.250000,114.641060,27847700
2021-03-22,120.260002,122.300003,117.239998,122.070000,116.376137,25660000
2021-03-29,121.000000,122.739998,118.779999,118.940002,113.392166,19672400
2021-04-05,119.650002,122.010002,119.080002,120.900002,115.260727,23645300
2021-04-12,120.559998,124.680000,120.480003,124.349998,118.549805,23341000
2021-04-19,123.599998,125.419998,119.010002,123.309998,117.989960,35395500
