Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,74.666031,75.458015,72.738548,72.977097,62.635582,25168873
2018-12-17,72.490456,73.368324,68.912216,69.561066,60.122154,110002692
2018-12-24,69.208015,73.072517,67.643127,71.917938,62.159210,52397694
2018-12-31,72.347328,73.187019,70.467560,72.776718,62.901463,53471370
2019-01-07,72.662216,72.967560,70.104965,71.469467,61.771599,68620211
2019-01-14,70.887405,72.833969,69.751907,72.395035,62.571560,75994148
2019-01-21,72.108780,72.709923,68.816795,69.608780,60.163383,60978719
2019-01-28,69.179390,73.940842,68.750000,72.948471,63.049915,72024010
2019-02-04,72.471375,74.790077,72.213737,73.969467,63.932369,52083923
2019-02-11,74.236641,76.459923,72.719467,76.154579,65.820976,57923276
2019-02-18,76.135498,77.156487,75.200378,77.070610,66.612701,34725166
2019-02-25,77.156487,78.177483,76.326340,77.910301,67.338463,48734725
2019-03-04,78.272903,78.358780,75.429390,76.145035,65.812752,48029945
2019-03-11,76.679390,78.253815,76.402672,77.833969,67.272491,52319095
2019-03-18,77.547707,79.627861,77.213737,78.520988,68.326828,56589379
2019-03-25,78.311066,79.646950,78.062981,79.360687,69.057503,44451443
2019-04-01,79.895035,80.009544,77.395035,77.433205,67.380264,41827985
2019-04-08,77.251907,77.595421,75.667938,75.791985,65.952118,48841097
2019-04-15,75.677483,75.849236,68.921753,69.837784,60.770931,93303649
2019-04-22,69.809158,73.463737,69.408394,73.120232,63.627213,69491413
2019-04-29,73.082062,76.469467,72.519081,76.335876,66.425377,53474723
2019-05-06,74.933205,76.135498,73.291985,74.608780,64.922516,48130448
2019-05-13,73.301529,76.230919,73.282440,75.114502,65.362587,43210612
2019-05-20,74.770988,78.187019,74.666031,77.452293,67.396881,48549858
2019-05-27,77.652672,78.187019,75.143127,75.582062,65.769440,39685140
2019-06-03,76.001907,79.083969,75.877861,78.683205,68.467972,48600267
2019-06-10,78.893127,80.410301,77.910301,78.988548,68.733673,44567667
2019-06-17,78.912216,82.538170,78.750000,80.696564,70.688927,55202561
2019-06-24,81.078247,82.309158,79.179390,80.009544,70.087120,88251242
2019-07-01,80.467560,83.082062,80.047707,81.679390,71.549873,35943046
2019-07-08,81.116409,81.583969,75.028625,76.078247,66.643364,69236958
2019-07-15,76.908394,79.160301,76.450378,77.662216,68.030899,49746674
2019-07-22,77.938934,79.255722,77.185112,77.700378,68.064308,39711446
2019-07-29,78.339699,81.269081,77.872139,80.601143,70.605339,59317848
2019-08-05,80.009544,82.166031,78.396950,81.603050,71.483009,52088534
2019-08-12,81.326340,82.814888,79.093513,81.164124,71.098511,47286598
2019-08-19,81.669846,83.253815,80.610687,81.049622,70.998192,37515361
2019-08-26,81.469467,83.349236,81.145035,82.509544,72.277069,31844947
2019-09-02,82.290077,83.177483,81.507637,82.604965,72.360664,29136601
2019-09-09,82.538170,82.557251,75.238548,78.826340,69.050636,56668609
2019-09-16,78.673660,81.937019,77.948471,81.259544,71.655167,51064430
2019-09-23,81.020988,81.316795,78.797707,79.112595,69.761955,41509604
2019-09-30,79.398857,81.221375,76.851143,81.106873,71.520531,38914021
